,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003205106071373,3.920374398563011,4.155745186992967,3.5276288267291362,3.920457486797617,4.143255066829739,2.6557152464667713,4.066899502738767,4.010419129859551,3.805688550236038,3.5365273654994476,3.5597357078042036,4.960108634497301,3.9993593022273477,3.2664575009995414,3.8874580073003835,2.3648724759438897,3.1503297545377174,4.111502305284969,3.404843691612169,4.011708874932069,3.609684684179843,3.481982666820616,3.798513456991786,3.797172465399103,3.9845834633292707,3.3308999480919357,3.9905328872888344,3.4573832038774244,3.105465509834936,2.721328319853835,3.353371957914469,3.0420042761378947,4.566929316981349
2,4.970690944034837,4.967983180676619,4.445545720307348,3.903218104365866,4.831911910223525,4.7062594263368736,3.393807943823564,4.69905156741512,4.532190716052815,4.837646570811113,3.96203201454376,4.067124100200131,4.775531100040152,4.012890775449586,3.9985060390256697,4.217479608780151,2.524917550798695,3.5432559665632315,4.19846905521927,4.397705833475039,4.993926431943641,4.573594217935424,3.8225482344162858,4.732509133313366,4.314457614819347,4.494157838574192,4.4148553786177755,4.164497377666921,3.462915310284566,4.39042093102943,2.994314197747493,4.346930095250696,4.012844349570626,3.9994136047094
3,4.017202027354193,3.9856922175246923,4.955728404406575,4.088396670035353,4.528642384572097,4.27122735680782,2.818534247070429,4.338271564625726,4.491348132056659,4.36796950751339,3.7250893088064703,3.5317864692242322,4.9649026490973664,4.196382982260316,3.4436912302720692,3.6217508410659596,2.727938953131412,3.418742282213904,4.210353616147885,3.502217143662118,4.440171204897735,3.0109421480640814,3.016017637546437,3.863110978746957,4.081121405118946,4.317222853683143,3.88027567548633,4.474610427211909,3.2060250521033637,3.2353774786242377,2.229319492844238,2.587833583939871,3.445822871713219,4.595485124468774
4,4.991064049704537,4.987267903374165,4.929356111687116,4.961945215642887,5.010575679804487,4.961520687892206,3.944341276401223,5.076290230049765,4.95226186086475,5.017378010310092,4.511675823491285,3.822515642264931,5.000350224720726,4.2040763024699,3.582855937768872,4.372133387934344,3.1169168113863726,3.5415919719009086,4.341423566075583,3.9818661466999616,4.721785591506042,4.591447750035691,3.5988110688598782,4.979617743747104,4.062657944599958,4.741957745565894,4.503319916029762,4.906899939529445,3.116948045102186,3.414540074856735,2.006561067783806,4.2234150434437785,4.171998465008152,4.644119471525398
5,4.980603899246121,4.240592053817911,5.461852888191309,4.37314927036344,5.164329620213333,4.553941015107748,3.153611446058336,4.636697950218091,4.982060158097041,4.920228215246374,4.143786443185191,4.1073551590045945,4.966358403242539,4.6782329489033785,3.291705383691446,4.270458717741456,3.023458668075987,3.437161286386498,4.96973643251469,3.390616691995295,3.995039455337342,3.48888509628109,3.1089463609899295,4.43298004104329,4.504923613940764,4.722672201001748,3.7370163821602174,5.0754644135134335,3.0172436338229747,3.611092888418549,2.9962748920380813,2.031802902918545,4.980746672610115,4.9873101829969695
6,4.970659472065217,4.964547774386295,4.169462319674876,3.878168654308901,4.5067304657172365,4.541494785351243,3.553684370026178,4.708406464743146,4.287324315255058,4.623722711575064,3.8844923433421936,3.787784597006926,4.321438376115438,3.631692742747765,3.9063232885842365,4.099683914480908,2.54788797966266,3.0861626249562004,3.7360540614594395,4.183314181497162,4.887748825432389,4.814709606021287,3.9072714162019118,4.846438457450061,4.015677115311082,4.218180273019811,4.73390047133896,3.8385760480508635,3.476221343038201,3.812420787661469,2.0107194869168907,4.979287818646948,4.001683472972844,3.0166602242383336
7,4.978861865433537,4.184535577643137,4.219954205880627,2.041096018752329,4.145876886436164,4.239136091335799,2.8284969000306344,4.041222717882253,4.001437731947333,4.114882229754611,3.3272374431631198,4.9676831946588,4.988572897930993,4.9133742554214255,4.040630885032266,4.983485897016701,2.14722209522104,2.939554572088113,4.259154972883306,4.518697545803871,4.619285248140351,4.995932513132284,4.981606821372144,4.693150863845941,4.547308610399069,3.987361091646479,3.7967249222147186,3.6678061071395898,5.168015139487734,4.445309878400855,4.286516998811216,4.51812044230981,4.582617259415898,4.002946240857786
8,4.033180725285641,4.611074928060845,4.9883332852255755,4.093664412492118,4.81252635331905,4.380035217061856,3.453562945971133,4.456909616513027,4.893424085092895,5.002093115717137,4.261128033102448,4.029743395989335,4.414791502135367,4.984759143044953,3.4820703406194413,4.048005180260543,3.3124746920471613,4.059269812040846,3.667557467557817,3.940195713305303,5.039381997711011,3.635205506762505,3.0011888875096853,4.480010532298286,4.267423522529952,4.6975691425802255,4.961261188994057,4.964584924688506,3.4013639594779344,3.474395505901744,2.097823296837729,3.1549229749086187,3.7958751268744817,4.455900279470183
9,4.985860408904635,4.640333728122282,4.9991325214565,4.143014837587305,4.871545504150244,4.667866242409115,3.4074310629630955,4.7962889391649846,4.769455174402733,4.763166663621903,4.352251230094918,4.289833570350178,4.999037224114464,4.86797076602183,3.362252029536026,4.977770836055883,2.9868563662815593,3.4536890291763602,4.367233349640085,3.589542791721541,4.595459874728757,4.565535084874184,3.9728809911974996,4.7534831208156065,4.4208906904448835,4.743164543898784,4.053739188180131,4.974984136746243,3.998283182833388,3.44780538992398,2.6130378116419015,3.735267151436059,4.461407138961018,4.89129123780607
10,4.00959780264692,3.9846600820733427,4.000589087845915,2.524383540020921,3.924363611146467,4.251701613107429,2.778344962069575,4.018320074769804,4.007737767962961,3.9033451713697294,2.5110749023441508,4.011436738195603,4.9904092909614075,3.019217063951376,4.950842806281518,3.549524508542774,2.9293119003441372,2.791463920917522,4.511541284452751,5.081977928939073,3.9786170547745914,4.001605812896781,4.960476127416538,4.037163111994558,3.6448587662767395,3.572065302803447,3.8976950432174755,3.2071879728546477,4.997894124316506,5.324909253079737,2.967050339824074,4.656787629943788,3.3017384591607155,4.018771164516634
